,Breakdown,12/31/2021,12/31/2020,12/31/2019
0,Total Assets,48086000,48094000,48995000
1,Total Liabilities Net Minority Interest,36472000,33418000,33165000
2,Total Equity Gross Minority Interest,11614000,14676000,15830000
3,Total Capitalization,16113000,18289000,18276000
4,Common Stock Equity,11219000,12399000,13484000
5,Net Tangible Assets,11219000,12352000,13437000
6,Working Capital,15000,1728000,213000
7,Invested Capital,19415000,19611000,21778000
8,Tangible Book Value,11219000,12352000,13437000
9,Total Debt,8196000,7212000,8294000
10,Net Debt,7692000,6986000,7991000
11,Share Issued,326000,326000,326000
12,Ordinary Shares Number,326000,326000,326000
