,Breakdown,12/31/2021,12/31/2020,12/31/2019,12/31/2018
0,Total Assets,168406000,153091000,136524000,127963000
1,Total Liabilities Net Minority Interest,73015000,72053000,59020000,53400000
2,Total Equity Gross Minority Interest,95391000,81038000,77504000,74563000
3,Total Capitalization,128901000,114935000,102812000,99661000
4,Common Stock Equity,95391000,81038000,77504000,74563000
5,Net Tangible Assets,61158000,45041000,40401000,38214000
6,Working Capital,30256000,22495000,8929000,12161000
7,Invested Capital,133492000,117439000,106505000,100922000
8,Tangible Book Value,61158000,45041000,40401000,38214000
9,Total Debt,38101000,36401000,29001000,26359000
10,Net Debt,33274000,30536000,24807000,23340000
11,Share Issued,4070000,4062000,4290000,4516000
12,Ordinary Shares Number,4070000,4062000,4290000,4516000
