,Breakdown,5/31/2021,5/31/2020,5/31/2019,5/31/2018
0,Total Assets,37740000.0,31342000,23717000.0,22536000.0
1,Total Liabilities Net Minority Interest,24973000.0,23287000,14677000.0,12724000.0
2,Total Equity Gross Minority Interest,12767000.0,8055000,9040000.0,9812000.0
3,Total Capitalization,12767000.0,17461000,12504000.0,13280000.0
4,Common Stock Equity,12767000.0,8055000,9040000.0,9812000.0
5,Capital Lease Obligations,3398000.0,3358000,0,0
6,Net Tangible Assets,12256000.0,7558000,8603000.0,9373000.0
7,Working Capital,16617000.0,12272000,8659000.0,9094000.0
8,Invested Capital,12769000.0,17712000,12519000.0,13622000.0
9,Tangible Book Value,12256000.0,7558000,8603000.0,9373000.0
10,Total Debt,3400000.0,13015000,3479000.0,3810000.0
11,Net Debt,0,1309000,0,0
12,Share Issued,1578000.0,1558000,1568000.0,1601000.0
13,Ordinary Shares Number,1578000.0,1558000,1568000.0,1601000.0
