,Breakdown,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Total Assets,20341200,19738189,17576690,15320087
1,Total Liabilities Net Minority Interest,11927530,13609660,11608538,9454594
2,Total Equity Gross Minority Interest,8413670,6128529,5968152,5865493
3,Total Capitalization,14980360,13766239,12482800,10178425
4,Common Stock Equity,8398307,6113983,5961969,5859866
5,Net Tangible Assets,3181177,5554865,1275113,1660074
6,Working Capital,2520247,1736831,4521313,1887755
7,Invested Capital,14983184,14575768,13069814,10816891
8,Tangible Book Value,3181177,5554865,1275113,1660074
9,Total Debt,6584877,8461785,7107845,4957025
10,Net Debt,5851760,7776271,3888078,4134888
11,Share Issued,181046,181046,181046,181046
12,Ordinary Shares Number,129146,128556,128480,132414
13,Treasury Shares Number,51900,52490,52566,48632
