,Breakdown,9/30/2021,9/30/2020,9/30/2019,9/30/2018
0,Total Assets,8590700.0,5106700.0,4839600.0,4828900.0
1,Total Liabilities Net Minority Interest,3293600.0,942500.0,717300.0,731900.0
2,Total Equity Gross Minority Interest,5297100.0,4164200.0,4122300.0,4097000.0
3,Total Capitalization,7532700.0,4164200.0,4122300.0,4097000.0
4,Common Stock Equity,5297100.0,4164200.0,4122300.0,4097000.0
5,Capital Lease Obligations,177500.0,150700.0,0,0
6,Net Tangible Assets,1421800.0,2920900.0,2824600.0,2763500.0
7,Working Capital,2206900.0,1869200.0,1860600.0,1872500.0
8,Invested Capital,7532700.0,4164200.0,4122300.0,4097000.0
9,Tangible Book Value,1421800.0,2920900.0,2824600.0,2763500.0
10,Total Debt,2413100.0,150700.0,0,0
11,Net Debt,1352700.0,0,0,0
12,Share Issued,165300.0,232300.0,230200.0,228400.0
13,Ordinary Shares Number,165300.0,165600.0,170100.0,177400.0
14,Treasury Shares Number,0,66700.0,60100.0,51000.0
