,Breakdown,1/31/2022,1/31/2021,1/31/2020,1/31/2019
0,Total Assets,28461500,30813555,24145003,14326029
1,Total Liabilities Net Minority Interest,22458500,24980871,18196791,9277423
2,Total Equity Gross Minority Interest,6003000,5832684,5948212,5048606
3,Total Capitalization,9357800,11165605,8184837,7282222
4,Common Stock Equity,6003000,5832684,5948212,5048606
5,Capital Lease Obligations,9152200,9420821,9227849,243258
6,Net Tangible Assets,5906300,5733686,5852666,4951054
7,Working Capital,2790500,4935669,1740375,2937848
8,Invested Capital,3354800,11915289,8184837,7282222
9,Tangible Book Value,5906300,5733686,5852666,4951054
10,Total Debt,12507000,15503426,11464474,2476874
11,Share Issued,1192878,1204698,1199100,1217183
12,Ordinary Shares Number,1192878,1204698,1199100,1217183
