,Breakdown,ttm,7/31/2021,7/31/2020,7/31/2019,7/31/2018
0,Operating Cash Flow,1044398.0,990891.0,917885.0,646646.0,535069
1,Investing Cash Flow,712664.0,465466.0,601208.0,356267.0,288476
2,Financing Cash Flow,30433.0,40922.0,27414.0,370304.0,182038
3,End Cash Position,978570.0,1048260.0,477718.0,186319.0,274520
4,Income Tax Paid Supplemental Data,242353.0,178241.0,83770.0,82448.0,142161
5,Interest Paid Supplemental Data,21420.0,19723.0,19728.0,19289.0,20343
6,Capital Expenditure,335982.0,462996.0,591972.0,373883.0,287910
7,Issuance of Debt,0,0,0,0,0
8,Repayment of Debt,810.0,1118.0,1065.0,0.0,231000
9,Repurchase of Capital Stock,0.0,0.0,0.0,364997.0,0
10,Free Cash Flow,708416.0,527895.0,325913.0,272763.0,247159
