,Breakdown,ttm,6/30/2021,6/30/2020,6/30/2019,6/30/2018
0,Operating Cash Flow,2226482.0,2575001,2070949,1730140,1600287
1,Investing Cash Flow,153074.0,13,5023993,218510,20090
2,Financing Cash Flow,251593.0,2623339,449310,902306,1681972
3,End Cash Position,2889735.0,733117,685514,3219767,822137
4,Income Tax Paid Supplemental Data,0,485885,307959,454699,408765
5,Interest Paid Supplemental Data,0,236979,308199,169378,200860
6,Capital Expenditure,222656.0,209957,232591,195089,247667
7,Issuance of Debt,1911126.0,1213,1857955,2385577,5304
8,Repayment of Debt,103531.0,1211748,740181,213226,944629
9,Repurchase of Capital Stock,477706.0,218818,216049,860052,381041
10,Free Cash Flow,2003826.0,2365044,1838358,1535051,1352620
