,Breakdown,ttm,1/31/2022,1/31/2021,1/31/2020,1/31/2019
0,Operating Cash Flow,3057500,3057500,4561889,4066540.0,4088459
1,Investing Cash Flow,1046400,1046400,578597,1461971.0,623552
2,Financing Cash Flow,6199800,6199800,3228262,2414871.0,3097481
3,End Cash Position,6226800,6226800,10469570,3216752.0,3030229
4,Capital Expenditure,1044800,1044800,568021,1223116.0,1125139
5,Issuance of Capital Stock,229400,229400,211189,232106.0,255241
6,Issuance of Debt,0,0,5986873,0,0
7,Repayment of Debt,2975500,2975500,2418358,0,7115
8,Repurchase of Capital Stock,2176300,2176300,201500,1551992.0,2406997
9,Free Cash Flow,2012700,2012700,3993868,2843424.0,2963320
